# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	k             	epsilon       
0.000119904   	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	4.093820e-03
0.000263651   	3.869920e-02	9.402570e-01	3.741330e-01	3.743660e-01	3.065220e-01	4.228730e-03
0.000435749   	4.456230e-02	6.593990e-02	2.945860e-02	2.537860e-02	1.912610e-01	4.649230e-03
0.000642267   	4.186480e-02	7.246630e-02	3.362520e-02	2.873180e-02	1.465750e-01	5.119940e-03
0.000889055   	4.475230e-02	7.500680e-02	3.812470e-02	3.241840e-02	1.223970e-01	5.583290e-03
0.0011849     	4.816670e-02	7.709070e-02	4.278570e-02	3.619510e-02	1.083450e-01	6.083250e-03
0.00153864    	5.192230e-02	7.825000e-02	4.710700e-02	4.058160e-02	9.923530e-02	6.598150e-03
0.00196004    	5.489160e-02	7.864000e-02	5.069830e-02	4.592920e-02	9.287420e-02	7.109550e-03
0.00246572    	5.724130e-02	7.915990e-02	5.505300e-02	5.287810e-02	8.968110e-02	7.715590e-03
0.00306742    	5.841840e-02	7.886130e-02	6.138610e-02	5.979750e-02	8.719760e-02	8.346100e-03
0.00378946    	6.067230e-02	7.917880e-02	6.923430e-02	6.696760e-02	8.648110e-02	9.158860e-03
0.00464521    	6.462230e-02	7.860710e-02	7.471850e-02	7.305440e-02	8.549130e-02	1.002880e-02
0.0056531     	7.155900e-02	7.770300e-02	7.714150e-02	7.837930e-02	8.445620e-02	1.103430e-02
0.00685166    	8.100550e-02	7.754170e-02	8.224310e-02	8.431140e-02	8.416020e-02	1.230210e-02
0.00828994    	8.928280e-02	7.784120e-02	8.650280e-02	9.081970e-02	8.387440e-02	1.378780e-02
0.00995834    	9.308010e-02	7.550250e-02	8.908600e-02	9.409530e-02	8.017100e-02	1.489900e-02
0.0119604     	9.519010e-02	7.545080e-02	9.386510e-02	1.004260e-01	7.753710e-02	1.607060e-02
0.0143379     	9.940070e-02	7.431770e-02	9.746220e-02	1.054690e-01	7.286170e-02	1.669910e-02
0.0170811     	1.033090e-01	7.122250e-02	9.803330e-02	1.070400e-01	6.690130e-02	1.650460e-02
