"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.357,-0.005,-0.01,0.04999,0.0073163,0
0.357,-0.005,0.01,0.04999,0.0073163,0
0.357,0.005,-0.01,0.05277,-0.00712,0
0.357,0.005,0.01,0.05277,-0.00712,0
0.357,-0.0018667,-0.01,0.72596,0.055081,0
0.357,-0.0017333,-0.01,0.72609,0.052083,0
0.357,-0.0016,-0.01,0.72621,0.048981,0
0.357,-0.0014667,-0.01,0.72642,0.045677,0
0.357,-0.0013333,-0.01,0.7266,0.042228,0
0.357,-0.0012,-0.01,0.72666,0.038675,0
0.357,-0.0010667,-0.01,0.72672,0.035002,0
0.357,-0.00093333,-0.01,0.72684,0.031214,0
0.357,-0.0008,-0.01,0.72702,0.027316,0
0.357,-0.00066667,-0.01,0.72722,0.023313,0
0.357,-0.00053333,-0.01,0.72731,0.019227,0
0.357,-0.0004,-0.01,0.72729,0.015077,0
0.357,-0.00026667,-0.01,0.72725,0.010867,0
0.357,-0.00013333,-0.01,0.72725,0.0066126,5.9891e-17
0.357,0,-0.01,0.72725,0.0023021,-1.5035e-19
0.357,0.00013333,-0.01,0.72719,-0.0020426,-6.0041e-17
0.357,0.00026667,-0.01,0.72715,-0.006338,0
0.357,0.0004,-0.01,0.7272,-0.010572,0
0.357,0.00053333,-0.01,0.72727,-0.014759,0
0.357,0.00066667,-0.01,0.72732,-0.01888,0
0.357,0.0008,-0.01,0.72728,-0.022931,0
0.357,0.00093333,-0.01,0.72713,-0.0269,0
0.357,0.0010667,-0.01,0.72695,-0.030764,0
0.357,0.0012,-0.01,0.72681,-0.034508,0
0.357,0.0013333,-0.01,0.72671,-0.038122,0
0.357,0.0014667,-0.01,0.7266,-0.041622,0
0.357,0.0016,-0.01,0.72648,-0.044983,0
0.357,0.0017333,-0.01,0.72641,-0.048163,0
0.357,0.0018667,-0.01,0.72631,-0.051252,0
0.357,-0.0018667,0.01,0.72596,0.055081,0
0.357,-0.0017333,0.01,0.72609,0.052083,0
0.357,-0.0016,0.01,0.72621,0.048981,0
0.357,-0.0014667,0.01,0.72642,0.045677,0
0.357,-0.0013333,0.01,0.7266,0.042228,0
0.357,-0.0012,0.01,0.72666,0.038675,0
0.357,-0.0010667,0.01,0.72672,0.035002,0
0.357,-0.00093333,0.01,0.72684,0.031214,0
0.357,-0.0008,0.01,0.72702,0.027316,0
0.357,-0.00066667,0.01,0.72722,0.023313,0
0.357,-0.00053333,0.01,0.72731,0.019227,0
0.357,-0.0004,0.01,0.72729,0.015077,0
0.357,-0.00026667,0.01,0.72725,0.010867,0
0.357,-0.00013333,0.01,0.72725,0.0066126,5.9891e-17
0.357,3.4544e-17,0.01,0.72725,0.0023021,-1.5035e-19
0.357,0.00013333,0.01,0.72719,-0.0020426,-6.0041e-17
0.357,0.00026667,0.01,0.72715,-0.006338,0
0.357,0.0004,0.01,0.7272,-0.010572,0
0.357,0.00053333,0.01,0.72727,-0.014759,0
0.357,0.00066667,0.01,0.72732,-0.01888,0
0.357,0.0008,0.01,0.72728,-0.022931,0
0.357,0.00093333,0.01,0.72713,-0.0269,0
0.357,0.0010667,0.01,0.72695,-0.030764,0
0.357,0.0012,0.01,0.72681,-0.034508,0
0.357,0.0013333,0.01,0.72671,-0.038122,0
0.357,0.0014667,0.01,0.7266,-0.041622,0
0.357,0.0016,0.01,0.72648,-0.044983,0
0.357,0.0017333,0.01,0.72641,-0.048163,0
0.357,0.0018667,0.01,0.72631,-0.051252,0
0.263,-0.005,-0.01,0.28108,-0.0037545,0
0.264,-0.005,-0.01,0.29241,-0.0037785,0
0.265,-0.005,-0.01,0.30657,-0.0036652,0
0.266,-0.005,-0.01,0.31015,-0.0035177,0
0.267,-0.005,-0.01,0.31019,-0.00335,0
0.268,-0.005,-0.01,0.3063,-0.0029281,0
0.269,-0.005,-0.01,0.30238,-0.0028237,0
0.27,-0.005,-0.01,0.3014,-0.0030679,0
0.271,-0.005,-0.01,0.30093,-0.0032349,0
0.272,-0.005,-0.01,0.30144,-0.003321,0
0.273,-0.005,-0.01,0.30339,-0.0031686,0
0.274,-0.005,-0.01,0.30555,-0.0028488,0
0.275,-0.005,-0.01,0.30631,-0.0026076,0
0.276,-0.005,-0.01,0.30695,-0.0027201,0
0.277,-0.005,-0.01,0.30815,-0.0028911,0
0.278,-0.005,-0.01,0.30681,-0.0026509,0
0.279,-0.005,-0.01,0.30416,-0.0025904,0
0.28,-0.005,-0.01,0.30162,-0.0027662,0
0.281,-0.005,-0.01,0.29721,-0.0027511,0
0.282,-0.005,-0.01,0.29112,-0.0028048,0
0.283,-0.005,-0.01,0.28506,-0.0030705,0
0.284,-0.005,-0.01,0.27957,-0.003366,0
0.285,-0.005,-0.01,0.27315,-0.0034067,0
0.286,-0.005,-0.01,0.26672,-0.0033259,0
0.287,-0.005,-0.01,0.262,-0.003265,0
0.288,-0.005,-0.01,0.25752,-0.0031881,0
0.289,-0.005,-0.01,0.25352,-0.0032681,0
0.29,-0.005,-0.01,0.25037,-0.0033415,0
0.291,-0.005,-0.01,0.24704,-0.003233,0
0.292,-0.005,-0.01,0.24371,-0.0030993,0
0.293,-0.005,-0.01,0.24077,-0.0030297,0
0.294,-0.005,-0.01,0.23801,-0.0029837,0
0.295,-0.005,-0.01,0.23467,-0.0028541,0
0.296,-0.005,-0.01,0.2311,-0.002683,0
0.297,-0.005,-0.01,0.22771,-0.0024771,0
0.298,-0.005,-0.01,0.22376,-0.0021821,0
0.299,-0.005,-0.01,0.21997,-0.0019284,0
0.3,-0.005,-0.01,0.21682,-0.0017418,0
0.301,-0.005,-0.01,0.21368,-0.001559,0
0.302,-0.005,-0.01,0.21059,-0.0014043,0
0.303,-0.005,-0.01,0.20772,-0.0012667,0
0.304,-0.005,-0.01,0.20493,-0.0011167,0
0.305,-0.005,-0.01,0.20184,-0.00094246,0
0.306,-0.005,-0.01,0.19883,-0.00077794,0
0.307,-0.005,-0.01,0.19624,-0.00063157,0
0.308,-0.005,-0.01,0.19352,-0.00048647,0
0.309,-0.005,-0.01,0.19103,-0.00036197,0
0.31,-0.005,-0.01,0.18885,-0.00024238,0
0.311,-0.005,-0.01,0.1865,-0.00011353,0
0.312,-0.005,-0.01,0.1841,5.5604e-06,0
0.313,-0.005,-0.01,0.18191,0.00010808,0
0.314,-0.005,-0.01,0.1799,0.00020159,0
0.315,-0.005,-0.01,0.17777,0.00028934,0
0.316,-0.005,-0.01,0.17581,0.00036984,0
