"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.357,-0.005,-0.01,0.012999,0.0056466,0
0.357,-0.005,0.01,0.012999,0.0056466,0
0.357,0.005,-0.01,0.014821,-0.0054503,0
0.357,0.005,0.01,0.014821,-0.0054503,0
0.357,-0.0018667,-0.01,0.8803,0.051586,0
0.357,-0.0017333,-0.01,0.89694,0.048819,0
0.357,-0.0016,-0.01,0.91206,0.045881,0
0.357,-0.0014667,-0.01,0.92589,0.042748,0
0.357,-0.0013333,-0.01,0.93838,0.039454,0
0.357,-0.0012,-0.01,0.94953,0.036031,0
0.357,-0.0010667,-0.01,0.95941,0.032503,0
0.357,-0.00093333,-0.01,0.96816,0.028836,0
0.357,-0.0008,-0.01,0.97582,0.025037,0
0.357,-0.00066667,-0.01,0.98224,0.021151,0
0.357,-0.00053333,-0.01,0.98742,0.017165,0
0.357,-0.0004,-0.01,0.99136,0.013104,0
0.357,-0.00026667,-0.01,0.99409,0.0089853,0
0.357,-0.00013333,-0.01,0.99575,0.0048037,2.3799e-16
0.357,0,-0.01,0.99633,0.00055755,-5.426e-19
0.357,0.00013333,-0.01,0.99563,-0.0036889,-2.3853e-16
0.357,0.00026667,-0.01,0.99387,-0.0078607,0
0.357,0.0004,-0.01,0.99109,-0.011955,0
0.357,0.00053333,-0.01,0.98714,-0.015992,0
0.357,0.00066667,-0.01,0.98205,-0.019939,0
0.357,0.0008,-0.01,0.97573,-0.023787,0
0.357,0.00093333,-0.01,0.96807,-0.027565,0
0.357,0.0010667,-0.01,0.95921,-0.031211,0
0.357,0.0012,-0.01,0.9492,-0.034706,0
0.357,0.0013333,-0.01,0.93797,-0.038081,0
0.357,0.0014667,-0.01,0.9255,-0.041307,0
0.357,0.0016,-0.01,0.91176,-0.044367,0
0.357,0.0017333,-0.01,0.89666,-0.047255,0
0.357,0.0018667,-0.01,0.88003,-0.049979,0
0.357,-0.0018667,0.01,0.8803,0.051586,0
0.357,-0.0017333,0.01,0.89694,0.048819,0
0.357,-0.0016,0.01,0.91206,0.045881,0
0.357,-0.0014667,0.01,0.92589,0.042748,0
0.357,-0.0013333,0.01,0.93838,0.039454,0
0.357,-0.0012,0.01,0.94953,0.036031,0
0.357,-0.0010667,0.01,0.95941,0.032503,0
0.357,-0.00093333,0.01,0.96816,0.028836,0
0.357,-0.0008,0.01,0.97582,0.025037,0
0.357,-0.00066667,0.01,0.98224,0.021151,0
0.357,-0.00053333,0.01,0.98742,0.017165,0
