"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.357,-0.005,-0.01,0.047651,0.0076016,0
0.357,-0.005,0.01,0.047651,0.0076016,0
0.357,0.005,-0.01,0.050285,-0.0074149,0
0.357,0.005,0.01,0.050285,-0.0074149,0
0.357,-0.0018667,-0.01,0.7282,0.057507,0
0.357,-0.0017333,-0.01,0.7285,0.054369,0
0.357,-0.0016,-0.01,0.72877,0.051122,0
0.357,-0.0014667,-0.01,0.72912,0.047661,0
0.357,-0.0013333,-0.01,0.72943,0.044048,0
0.357,-0.0012,-0.01,0.72961,0.040324,0
0.357,-0.0010667,-0.01,0.72976,0.036474,0
0.357,-0.00093333,-0.01,0.72997,0.032503,0
0.357,-0.0008,-0.01,0.73024,0.028416,0
0.357,-0.00066667,-0.01,0.7305,0.024219,0
0.357,-0.00053333,-0.01,0.73065,0.019935,0
0.357,-0.0004,-0.01,0.73066,0.015584,0
0.357,-0.00026667,-0.01,0.73064,0.011169,0
0.357,-0.00013333,-0.01,0.73066,0.0067085,4.7876e-17
0.357,0,-0.01,0.73067,0.0021893,-9.2403e-20
0.357,0.00013333,-0.01,0.73059,-0.002366,-4.7969e-17
0.357,0.00026667,-0.01,0.73053,-0.006869,0
0.357,0.0004,-0.01,0.73055,-0.011307,0
0.357,0.00053333,-0.01,0.73058,-0.015695,0
0.357,0.00066667,-0.01,0.73057,-0.020015,0
0.357,0.0008,-0.01,0.73046,-0.024261,0
0.357,0.00093333,-0.01,0.73023,-0.028419,0
0.357,0.0010667,-0.01,0.72994,-0.032467,0
0.357,0.0012,-0.01,0.72969,-0.036387,0
0.357,0.0013333,-0.01,0.72947,-0.040171,0
0.357,0.0014667,-0.01,0.72922,-0.043834,0
0.357,0.0016,-0.01,0.72896,-0.047349,0
0.357,0.0017333,-0.01,0.72873,-0.050673,0
0.357,0.0018667,-0.01,0.72845,-0.0539,0
0.357,-0.0018667,0.01,0.7282,0.057507,0
0.357,-0.0017333,0.01,0.7285,0.054369,0
0.357,-0.0016,0.01,0.72877,0.051122,0
0.357,-0.0014667,0.01,0.72912,0.047661,0
0.357,-0.0013333,0.01,0.72943,0.044048,0
0.357,-0.0012,0.01,0.72961,0.040324,0
0.357,-0.0010667,0.01,0.72976,0.036474,0
0.357,-0.00093333,0.01,0.72997,0.032503,0
0.357,-0.0008,0.01,0.73024,0.028416,0
0.357,-0.00066667,0.01,0.7305,0.024219,0
0.357,-0.00053333,0.01,0.73065,0.019935,0
0.357,-0.0004,0.01,0.73066,0.015584,0
0.357,-0.00026667,0.01,0.73064,0.011169,0
0.357,-0.00013333,0.01,0.73066,0.0067085,4.7876e-17
0.357,3.4544e-17,0.01,0.73067,0.0021893,-9.2403e-20
0.357,0.00013333,0.01,0.73059,-0.002366,-4.7969e-17
0.357,0.00026667,0.01,0.73053,-0.006869,0
0.357,0.0004,0.01,0.73055,-0.011307,0
0.357,0.00053333,0.01,0.73058,-0.015695,0
0.357,0.00066667,0.01,0.73057,-0.020015,0
0.357,0.0008,0.01,0.73046,-0.024261,0
0.357,0.00093333,0.01,0.73023,-0.028419,0
0.357,0.0010667,0.01,0.72994,-0.032467,0
0.357,0.0012,0.01,0.72969,-0.036387,0
0.357,0.0013333,0.01,0.72947,-0.040171,0
0.357,0.0014667,0.01,0.72922,-0.043834,0
0.357,0.0016,0.01,0.72896,-0.047349,0
0.357,0.0017333,0.01,0.72873,-0.050673,0
0.357,0.0018667,0.01,0.72845,-0.0539,0
0.263,-0.005,-0.01,0.40552,-0.0043273,0
0.264,-0.005,-0.01,0.39974,-0.0045327,0
0.265,-0.005,-0.01,0.39395,-0.0048324,0
0.266,-0.005,-0.01,0.39408,-0.0048292,0
0.267,-0.005,-0.01,0.39146,-0.0044613,0
0.268,-0.005,-0.01,0.37961,-0.0036773,0
0.269,-0.005,-0.01,0.35644,-0.0029696,0
0.27,-0.005,-0.01,0.3242,-0.0025153,0
0.271,-0.005,-0.01,0.28431,-0.0019009,0
0.272,-0.005,-0.01,0.24442,-0.0015453,0
0.273,-0.005,-0.01,0.21942,-0.001748,0
0.274,-0.005,-0.01,0.21879,-0.0021475,0
0.275,-0.005,-0.01,0.24013,-0.0024922,0
0.276,-0.005,-0.01,0.27352,-0.0029437,0
0.277,-0.005,-0.01,0.30511,-0.0032039,0
0.278,-0.005,-0.01,0.32348,-0.0028714,0
0.279,-0.005,-0.01,0.32848,-0.0026049,0
0.28,-0.005,-0.01,0.32434,-0.0025702,0
0.281,-0.005,-0.01,0.31301,-0.0024159,0
0.282,-0.005,-0.01,0.29842,-0.0024248,0
0.283,-0.005,-0.01,0.28575,-0.0027583,0
0.284,-0.005,-0.01,0.27683,-0.0031426,0
0.285,-0.005,-0.01,0.2697,-0.0032708,0
0.286,-0.005,-0.01,0.26433,-0.0032746,0
0.287,-0.005,-0.01,0.2612,-0.0032721,0
0.288,-0.005,-0.01,0.25793,-0.0032163,0
0.289,-0.005,-0.01,0.25453,-0.0033054,0
0.29,-0.005,-0.01,0.25157,-0.0033911,0
0.291,-0.005,-0.01,0.24821,-0.0032919,0
0.292,-0.005,-0.01,0.24479,-0.0031659,0
0.293,-0.005,-0.01,0.24182,-0.0031062,0
0.294,-0.005,-0.01,0.23911,-0.0030689,0
0.295,-0.005,-0.01,0.23583,-0.0029438,0
0.296,-0.005,-0.01,0.23234,-0.0027758,0
0.297,-0.005,-0.01,0.22906,-0.0025703,0
0.298,-0.005,-0.01,0.22517,-0.0022716,0
0.299,-0.005,-0.01,0.22144,-0.0020151,0
0.3,-0.005,-0.01,0.21839,-0.0018267,0
0.301,-0.005,-0.01,0.21533,-0.0016415,0
0.302,-0.005,-0.01,0.21231,-0.0014858,0
0.303,-0.005,-0.01,0.20951,-0.0013475,0
0.304,-0.005,-0.01,0.20679,-0.0011952,0
0.305,-0.005,-0.01,0.20373,-0.0010167,0
0.306,-0.005,-0.01,0.20076,-0.00084771,0
0.307,-0.005,-0.01,0.1982,-0.00069719,0
0.308,-0.005,-0.01,0.19551,-0.00054778,0
0.309,-0.005,-0.01,0.19303,-0.00042011,0
0.31,-0.005,-0.01,0.19087,-0.00029682,0
0.311,-0.005,-0.01,0.18853,-0.00016234,0
0.312,-0.005,-0.01,0.18612,-3.7392e-05,0
0.313,-0.005,-0.01,0.18391,7.0161e-05,0
0.314,-0.005,-0.01,0.1819,0.00016808,0
0.315,-0.005,-0.01,0.17976,0.00026026,0
0.316,-0.005,-0.01,0.17777,0.00034444,0
0.317,-0.005,-0.01,0.1761,0.00042681,0
0.318,-0.005,-0.01,0.1742,0.00050352,0
0.319,-0.005,-0.01,0.17232,0.00056236,0
0.32,-0.005,-0.01,0.17064,0.0006094,0
0.321,-0.005,-0.01,0.16887,0.00065349,0
0.322,-0.005,-0.01,0.16718,0.00070002,0
0.323,-0.005,-0.01,0.16568,0.00074924,0
0.324,-0.005,-0.01,0.16422,0.0007928,0
0.325,-0.005,-0.01,0.16256,0.00082092,0
0.326,-0.005,-0.01,0.16093,0.00083812,0
0.327,-0.005,-0.01,0.15953,0.00086376,0
0.328,-0.005,-0.01,0.15808,0.00090252,0
0.329,-0.005,-0.01,0.15682,0.0009572,0
0.33,-0.005,-0.01,0.15571,0.001008,0
0.331,-0.005,-0.01,0.15439,0.0010288,0
0.332,-0.005,-0.01,0.15288,0.0010189,0
0.333,-0.005,-0.01,0.1514,0.0010008,0
0.334,-0.005,-0.01,0.15002,0.00099743,0
0.335,-0.005,-0.01,0.14862,0.0010102,0
0.336,-0.005,-0.01,0.14732,0.0010337,0
0.337,-0.005,-0.01,0.14614,0.0010564,0
0.338,-0.005,-0.01,0.14478,0.0010674,0
0.339,-0.005,-0.01,0.14345,0.0010811,0
0.34,-0.005,-0.01,0.14227,0.0011088,0
0.341,-0.005,-0.01,0.14104,0.0011428,0
0.342,-0.005,-0.01,0.13982,0.001184,0
0.343,-0.005,-0.01,0.13863,0.001225,0
0.344,-0.005,-0.01,0.13743,0.001259,0
0.345,-0.005,-0.01,0.13614,0.0012874,0
0.346,-0.005,-0.01,0.1349,0.0013141,0
0.347,-0.005,-0.01,0.13377,0.001343,0
0.348,-0.005,-0.01,0.13269,0.0013726,0
0.349,-0.005,-0.01,0.13189,0.0014201,0
0.35,-0.005,-0.01,0.13145,0.0014796,0
0.351,-0.005,-0.01,0.13194,0.0015232,0
0.352,-0.005,-0.01,0.1332,0.0016135,0
0.353,-0.005,-0.01,0.13623,0.0018074,0
0.354,-0.005,-0.01,0.14379,0.002097,0
0.355,-0.005,-0.01,0.15198,0.0025938,0
0.356,-0.005,-0.01,0.10133,0.0052617,0
0.263,-0.005,0.01,0.40552,-0.0043273,0
0.264,-0.005,0.01,0.39974,-0.0045327,0
0.265,-0.005,0.01,0.39395,-0.0048324,0
0.266,-0.005,0.01,0.39408,-0.0048292,0
0.267,-0.005,0.01,0.39146,-0.0044613,0
0.268,-0.005,0.01,0.37961,-0.0036773,0
0.269,-0.005,0.01,0.35644,-0.0029696,0
0.27,-0.005,0.01,0.3242,-0.0025153,0
0.271,-0.005,0.01,0.28431,-0.0019009,0
